Formula,Sites,Energy_Above Hull,Formation_Energy,Volume,Density,Band_Gap
NaNO3,20,0.012939741000000001,-1.350257228,268.85574931156384,2.099817011178254,2.7742
SrTeO3,120,0.003206168583333,-2.377819146,2270.903792588304,4.619314360035913,3.2315
NaClO3,20,0.41308131024999906,-0.700789753,523.6635832390654,1.35009875561626,1.202199999999999
KIO3,20,0,-1.366622997,350.6688937400874,4.053475826557709,2.7868
NaNO3,40,0,-0.994613893,479.7522399990449,2.353497613512432,3.0097
BaGeO3,30,0.32623320983333304,-2.369768002,580.7472411339012,4.42562197888616,2.2342
NbHO3,20,0.033637553535713,-2.474307037,235.8737322671157,3.996227663583836,2.6221
TiNiO3,60,0.015940109166665002,-2.580777558,624.0954126779501,4.934833773785957,1.4963
FeBiO3,5,0.43792711700000003,-1.236482167,132.00542267882287,3.935109620597321,1.6259000000000001
CaTeO3,90,0.013546894488890002,-2.397524383,1591.5480799717564,4.050457341608824,3.152199999999999
VHO3,30,0.048751406749998005,-1.937564763,362.9160286664567,2.743890284113196,2.1077
NbHO3,20,0.045080743035713,-2.462863847,240.27639176242732,3.9230035339077913,2.531
SrTeO3,30,0.031557382666666,-2.349467932,632.3339984652432,4.147340853419161,3.174
NaNO3,40,0.009446822,-1.353750147,533.4132294446556,2.11673743654711,2.571399999999999
LiNbO3,50,0.010056417400003001,-2.889461234,559.9273656950107,4.384557291808807,2.9621
TiNiO3,40,0.020319030499999002,-2.576398636,414.1901770745118,4.957154613212025,2.3354
LiNbO3,70,0.006859243142860001,-2.892658409,778.319584001562,4.415984295457482,3.0192
KNO3,10,0.011764387500000001,-1.410374209,179.0882268732527,1.8748950338500072,3.0629
LiNbO3,60,0.008015285666669,-2.891502366,669.8987539597193,4.397739687610721,2.9794
BaGeO3,30,0.45118400616666604,-2.244817205,567.9852833160062,4.525060472578735,1.4284000000000001
LiNbO3,40,0.010854103250004,-2.888663548,445.40877225707146,4.409493062654657,3.0381
TiNiO3,50,0.020012813999999,-2.576704853,516.7503733668699,4.966626181744278,1.708199999999999
VHO3,30,0.022129907083330003,-1.964186263,341.85945458103134,2.912898127176999,2.071399999999999
KClO3,10,0.050930346875001004,-1.148729709,185.02780731565468,2.199650261164601,5.4717
BaCO3,10,0.015460144000002,-2.667319117,158.4914239428948,4.135037253633823,4.4436
KNO3,10,0.007036090500000001,-1.415102506,155.52289971226747,2.158985125707373,3.5471
SrSeO3,10,0,-2.315657463,153.21182131644215,4.651279266562305,3.7027
BaCO3,10,0.035359590000001,-2.647419671,151.32585039685978,4.330839315732281,4.354299999999999
KNO3,10,0.007499554500000001,-1.414639042,172.7027645944071,1.944216862852343,2.976499999999999
BaSeO3,10,0,-2.318079119,176.75970785828287,4.96556488626975,3.886599999999999
BaSO3,10,0.06942532750000001,-2.599932525,171.06198078454176,4.220516074236972,4.4264
CsClO3,10,0.06489169462500201,-1.154319856,236.14650286890378,3.042760899983975,5.5682
KPO3,10,0.245941546,-2.439726506,201.794081320203,1.943171785535104,3.3136
TiMnO3,10,0.199470641999999,-2.755133414,113.83843812847203,4.399474971888604,1.3274
MgCO3,60,0.31464865683333204,-2.127382018,546.6588860031457,3.073357706338463,4.8023
