formula,Eg
LaSiAs3,0
CsAuBr3,0.68
RbAuBr3,0.751
CsCaBr3,4.404
KCaBr3,4.595
RbCaBr3,4.628
CsCdBr3,2.902
RbCdBr3,2.754
TlCdBr3,2.747
CrCoBr3,0
RbCoBr3,0
CsCrBr3,0
CsCuBr3,0.378
CsDyBr3,0
KDyBr3,0
RbDyBr3,0
CsEuBr3,0.937
CsFeBr3,0.507
InFeBr3,0
KFeBr3,0.057
TlFeBr3,0
LiGaBr3,2.937
CsGeBr3,1.477
RbGeBr3,1.994
CsHgBr3,1.902
CaInBr3,3.147
CdInBr3,2.223
KInBr3,2.278
MgInBr3,2.06
MnInBr3,1.626
CsMgBr3,4.045
CsMnBr3,1.291
KMnBr3,1.788
RbMnBr3,1.247
CsNiBr3,0.821
RbNiBr3,0.479
CsPbBr3,2.889
AlSBr3,0.199
NbSeBr3,0.733
CsSmBr3,0
CsSnBr3,0.597
NbTeBr3,0.594
CsTiBr3,0
KTiBr3,0
RbTiBr3,0
CsTmBr3,0
KTmBr3,0
RbTmBr3,0
CsVBr3,0.659
RbVBr3,0.588
CsYbBr3,4.35
KYbBr3,4.512
RbYbBr3,4.485
CsAgCl3,0
CsAuCl3,0.832
SnCCl3,0.791
CsCaCl3,5.334
KCaCl3,5.566
CsCdCl3,2.492
KCdCl3,3.51
RbCdCl3,3.554
TlCdCl3,3.293
CsCoCl3,0
RbCoCl3,0
TlCoCl3,0
CsCrCl3,0.148
RbCrCl3,0.499
CsCuCl3,0.551
KCuCl3,0.242
RbCuCl3,0.244
CsEuCl3,1.094
RbEuCl3,0.338
CsFeCl3,0
KFeCl3,0.049
RbFeCl3,0
LiGaCl3,3.689
CsGeCl3,2.848
RbGeCl3,3.789
CsHgCl3,1.987
NaHgCl3,1.933
CsMgCl3,5.126
KMgCl3,4.485
RbMgCl3,4.75
CsMnCl3,1.493
KMnCl3,1.961
NaMnCl3,2.285
RbMnCl3,1.314
CaNCl3,1.57
CdNCl3,2.032
FeNCl3,0
HgNCl3,0
MnNCl3,0.377
MoNCl3,1.671
NiNCl3,0
VNCl3,0
CsNiCl3,0.821
KNiCl3,0.703
RbNiCl3,0.726
TlNiCl3,0.834
CsPbCl3,2.395
RbPbCl3,2.186
CsPdCl3,1.466
CsScCl3,0
RbScCl3,0
NbSeCl3,0.758
CsSmCl3,0
CsSnCl3,2.972
CsSrCl3,5.311
RbSrCl3,4.896
KTcCl3,1.695
CsTiCl3,0
KTiCl3,0
RbTiCl3,0
MgTlCl3,4.01
MnTlCl3,1.933
CsTmCl3,0
CsVCl3,0.483
KVCl3,0.375
RbVCl3,0
TlVCl3,0.33
CsYbCl3,5.344
CoAgF3,0
CsAgF3,0
KAgF3,0
MgAgF3,0
MnAgF3,0
NiAgF3,0
RbAgF3,0
ZnAgF3,1.341
CsBeF3,5.595
AsCF3,3.319
PCF3,3.215
TeCF3,2.508
CsCaF3,6.877
KCaF3,6.647
LiCaF3,6.742
RbCaF3,6.397
CsCdF3,3.308
KCdF3,3.358
NaCdF3,3.513
RbCdF3,3.175
CClF3,6.606
CsCoF3,0
KCoF3,2.199
NaCoF3,2.952
RbCoF3,0
KCrF3,1.943
RbCrF3,0.999
KCuF3,0.021
NaCuF3,0.081
RbCuF3,0
TlCuF3,0
CsEuF3,0
CsFeF3,3.423
KFeF3,2.915
NaFeF3,3.01
RbFeF3,0
TlFeF3,0
CsHgF3,0.756
KHgF3,0.643
RbHgF3,0.652
